epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.9624,0.4071,2.2398,0.4408,0.000100
2,0.6208,0.7448,1.2592,0.5592,0.000100
3,0.3368,0.8663,1.0829,0.6612,0.000100
4,0.1966,0.9236,1.0146,0.6571,0.000100
5,0.1089,0.9714,1.0670,0.6857,0.000100
6,0.0922,0.9722,0.9838,0.6980,0.000100
7,0.0721,0.9774,0.9771,0.7102,0.000100
8,0.0704,0.9774,1.0049,0.6980,0.000100
9,0.0522,0.9835,1.0725,0.7102,0.000100
10,0.0526,0.9844,0.9788,0.7102,0.000100
11,0.0423,0.9844,1.0468,0.7102,0.000050
12,0.0397,0.9913,1.0022,0.7143,0.000050
